id,mRNA_NT_1,mRNA_NT_2,mRNA_AA_1,mRNA_AA_2
Gpatch4,16,22,18,22
Eef1b2,16,2,5,10
Lrp1,16,7,6,18
Trim28,21,4,3,8
Mprip,20,5,11,17
Rps8,17,5,5,17
Grm8,16,8,12,24
Rpl8,17,3,10,24
Gsn,16,2,1,8
Ahctf1,18,9,17,10
Mroh6,16,8,1,5
Cct7,16,2,5,10
Upf1,18,15,16,18
Uck1,15,12,36,35
Fau,17,2,8,9
Snd1,16,4,13,15
Son,16,3,8,11
Ptx3,16,7,14,16
Crebbp,15,8,12,25
Gc,15,15,25,18
Sf3b3,15,5,15,20
Tnrc18,17,1,2,5
Zbtb4,15,7,6,20
Hnrnpl,16,4,10,15
Numa1,15,2,9,12
Dio3,15,2,6,8
Myo1c,19,7,6,12
Rpl24,16,1,6,8
Scaf11,16,5,6,10
Ubb,15,2,7,12
Trp53bp1,16,10,4,13
Rpl15,15,2,6,14
Unc5b,20,5,3,15
Fth1,17,3,3,6
Hnrnpa1,15,6,5,10
Ifrd2,14,19,12,24
Rad21,16,5,1,12
Hnrnpm,14,4,2,12
Eif5a,20,10,13,10
Fbn1,21,2,2,8
Piezo1,14,1,8,10
Ncor2,16,3,8,14
Hmgb1,20,3,8,7
Bltp2,14,1,4,8
Smarca4,14,1,1,5
Nedd4,18,4,8,16
Niban2,17,6,3,9
Samhd1,14,4,12,18
Cfl1,25,9,13,20
Afdn,17,1,7,6
Gapdh,17,7,1,13
Zfpm1,17,2,2,11
Syne2,14,5,6,12
Pdap1,15,19,15,23
Ppfibp1,17,4,7,19
Hspa4,20,3,3,10
mt-Co2,14,3,4,12
Gcn1,15,2,9,10
Rpl18a,14,3,7,13
Hnrnpf,20,1,6,9
Tpr,14,3,3,10
Nup205,13,2,9,4
Cct5,14,1,2,6
Wnk1,18,6,5,6
Ehmt2,13,1,3,8
Atp5f1b,13,5,6,22
Rpl27a,13,1,5,8
Rps7,13,3,8,19
Kif1c,16,1,3,7
Arpc1b,14,2,5,3
Adamtsl2,13,1,19,11
Ankzf1,15,9,12,10
Rrm1,13,2,8,9
Plxna4,18,5,9,14
Ark2n,15,6,3,2
Sfpq,15,3,3,12
Rps3a1,14,3,6,6
Ckap4,14,3,1,8
Atp1a1,17,4,10,17
