id,mRNA_NT_1,mRNA_NT_2,mRNA_AA_1,mRNA_AA_2
Qrich1,3,1,1,2
Usp32,5,1,2,2
Gpt,3,5,22,4
Cd2ap,6,2,3,6
Pacsin2,5,1,4,3
Btg3,4,1,1,1
Cdk6,8,4,7,13
Ube2o,3,2,2,2
Plekha6,5,2,5,2
Mfge8,5,1,3,4
Gigyf2,4,2,1,3
Ptprj,3,1,4,3
Klhl31,3,2,6,1
Atl2,4,3,2,4
Dlat,3,3,3,8
Rsl1d1,3,1,1,3
Zfp292,3,2,2,3
Psmd11,6,1,3,3
Etv4,3,1,2,2
Dnajc2,3,1,1,2
Usp10,5,2,2,4
Supt6,4,1,7,7
Vegfa,5,2,5,3
Camsap1,3,1,1,4
Tns3,5,1,3,7
Vps13d,3,2,3,9
Aamp,4,2,4,4
Rock2,6,2,6,2
Ptcd1,3,11,12,17
Lmbrd2,4,4,2,4
Crim1,8,6,12,6
Mbtps1,6,2,7,7
Mrps27,3,2,1,1
Prex1,45,13,11,22
Wdr4,4,1,3,7
Smc2,6,2,1,1
P3h4,5,1,4,6
Myo15b,3,2,6,4
Mrpl4,3,1,2,1
Pkp4,4,1,3,2
Tnks,5,2,1,8
Urb2,3,2,5,2
Ankrd28,3,3,3,3
Jak2,4,1,4,8
Usp7,3,1,2,8
Nrdc,3,1,1,2
S100a4,4,2,1,3
Dnajc8,3,9,9,11
Map2k2,5,3,1,2
Cacna1f,3,7,31,17
Rreb1,6,1,12,6
Coasy,3,1,3,1
Bltp1,3,3,5,2
Srebf1,4,3,1,2
Psme3,6,1,3,1
Prkaca,3,1,5,8
Atm,4,1,3,3
Fto,3,1,1,1
Lmtk2,3,1,6,4
Prdx1,7,3,2,2
Amdhd1,3,6,9,2
Gykl1,3,1,2,2
Adss2,4,2,1,2
Ttc3,3,1,1,2
Nop58,4,1,2,6
Ccnd1,4,2,1,5
Atp5pd,5,1,2,3
Pik3r1,3,21,25,18
Htt,4,1,3,3
Rangap1,6,1,3,8
Pnn,3,2,1,1
Anxa13,3,6,9,4
Sulf1,3,4,3,1
Baz2a,3,2,6,4
Apbb2,4,2,2,3
Cul3,3,1,2,2
Srgap2,5,5,8,6
Celf1,9,1,2,7
Nop53,3,2,1,2
Afg3l2,3,2,2,5
Topors,3,1,1,1
Safb2,3,8,4,5
Ptpa,8,2,3,3
Ivns1abp,5,3,1,3
Agap3,3,1,1,4
Nat10,3,1,4,4
Bahd1,4,1,2,1
Capzb,3,1,2,1
Mcm3,2,1,7,6
Plekha7,2,6,3,5
Tep1,2,1,1,1
Arid2,3,3,2,4
Agfg1,2,1,2,1
Flt4,2,2,1,2
Impdh1,4,1,2,1
Unc13c,2,2,5,1
Rbpj,3,1,1,6
Arcn1,5,1,4,6
Ninj1,4,2,4,4
Cep104,2,2,1,1
Eif3e,2,2,3,1
Fkbp9,4,3,1,1
Babam1,2,2,1,5
Naa25,2,1,3,1
Zfp532,2,1,1,2
Wasl,5,2,4,4
Slc38a2,8,1,13,16
Bdp1,2,1,3,4
Larp4,4,5,6,9
Gnb1,5,4,5,7
Heatr1,2,3,4,5
Ivl,2,2,3,3
Acadl,2,3,7,5
Tes,4,2,1,9
Wwp1,2,2,3,4
Prss23,3,5,1,2
Tmc6,2,1,1,1
Dnttip1,3,4,22,8
Rpl31,2,1,1,6
Lrrn4,6,3,3,6
Slc4a2,2,1,3,7
Haus6,3,3,4,4
Pelp1,2,1,1,4
Anapc7,2,1,1,2
Thop1,2,1,1,2
Fhdc1,2,2,2,3
Ttc28,2,1,5,10
Cdh11,7,2,7,3
Bag1,10,1,1,6
Cul4b,2,3,1,1
Idh3g,2,2,3,3
Srsf11,2,1,2,7
Fbxo38,4,2,2,3
Lrp2bp,2,1,4,9
Mtrex,2,2,1,2
Tmem176b,3,1,1,2
Jmjd1c,2,5,2,4
Apba3,2,1,2,1
Ppp6r3,2,2,4,2
Tcea1,2,5,1,1
Kank2,3,1,2,3
D130043K22Rik,3,1,4,2
Psmd1,4,4,4,2
Slc12a4,2,1,3,6
Mtmr14,2,2,6,2
Washc5,3,2,3,3
Zmym4,2,1,1,1
Umps,2,1,2,7
Ift172,2,1,2,1
Psip1,2,3,1,2
Ubxn8,2,4,6,2
Prmt1,3,3,7,1
Prpf38a,3,1,1,3
Dusp19,2,3,3,3
Cdca7,4,1,4,3
Phf20l1,2,4,7,4
Zfp605,2,4,6,8
Uck2,4,3,4,3
Sun2,2,1,8,4
Smg8,2,2,1,4
Mrtfb,3,1,2,3
Mdh1,2,1,1,2
Ogdh,3,3,2,1
Dpysl2,3,1,2,1
Rtel1,3,1,4,3
Mthfd2,2,1,1,7
Mtrnr2l7,2,2,6,14
Tacc1,4,1,1,5
Nol11,2,2,1,1
Med24,2,1,1,1
Trim24,2,1,2,1
Dennd4a,2,2,2,7
Rusc2,2,2,2,3
Jmy,3,1,3,2
Nomo1,2,1,4,2
Dnm1,2,2,2,1
Hivep2,2,1,1,4
Efcab11,3,1,4,1
Rai1,4,3,3,7
Tm9sf3,9,10,13,22
Phc3,82,49,77,123
Cxadr,8,1,4,7
Rpl28,3,2,3,4
Uqcc2,2,4,1,2
Dlc1,2,1,2,5
S100a11,4,1,5,2
Gxylt2,6,1,1,3
Postn,2,2,7,9
Tcf20,2,1,4,7
Rapgef4,2,2,7,2
Ptgs1,3,1,2,5
1600012H06Rik,3,9,23,6
Rpl36,4,3,5,4
Map3k13,2,3,2,7
Lima1,4,1,1,2
Neo1,6,3,3,8
Plaur,2,1,3,3
Gle1,3,2,2,2
Ccar2,3,1,4,5
Map3k11,3,3,5,4
Nup98,3,1,2,5
Mga,4,1,3,3
Atg16l1,2,6,3,6
Kmt2c,2,1,4,3
Ccdc186,3,2,15,9
Gm6436,2,1,1,2
Sra1,2,2,3,2
Vdac2,4,2,1,7
Igsf8,2,1,1,2
Kif13a,2,2,3,3
Kifbp,2,3,1,2
Col28a1,2,6,16,7
Luzp1,6,3,4,8
Prdm2,4,2,5,6
Ppp2ca,4,3,2,5
Shmt2,5,2,2,8
Ppp2r5a,3,1,4,4
Racgap1,3,1,4,2
Prmt5,4,2,1,2
Mtor,2,2,2,7
Muc16,2,2,1,3
Bccip,2,2,1,1
Pum2,4,2,2,13
Copb1,3,1,2,3
Lrrc17,2,5,1,4
Letm1,2,1,2,4
Cdh23,2,1,3,3
Hmgxb3,3,2,2,2
Zfp638,2,5,1,4
Nup160,2,1,2,2
Zan,2,1,5,1
Pwwp2b,3,2,2,2
Blm,2,2,3,2
Drg1,2,1,1,4
Lars1,3,1,5,7
Tnfrsf1a,2,3,2,2
Lrrk1,5,2,3,2
Met,5,1,3,7
Mbd1,2,1,2,2
Clptm1l,2,1,1,4
Brd7,2,5,1,4
C1qbp,2,1,2,1
Gar1,1,5,9,5
Cdt1,1,2,2,4
Nexn,1,1,1,1
Taf10,2,1,2,1
Pgm2,1,1,2,2
Smg6,2,1,5,3
Spats2l,1,2,4,2
Slf2,3,3,2,1
Lyst,3,1,3,2
Jak1,1,1,3,2
Zfp592,5,4,4,8
Cacna1c,1,1,1,1
Scube2,1,1,1,2
D8Ertd738e,1,3,2,11
Mall,1,2,3,1
Tbc1d5,1,3,5,5
Dennd6b,1,2,3,6
Ccdc80,2,1,2,2
Myo1b,1,2,1,2
Suz12,2,2,3,4
Hs2st1,5,1,2,2
Muc5b,1,3,3,3
Psmb1,5,1,3,5
Ptpra,3,1,4,1
Nyap2,1,4,6,3
Vps33a,2,1,2,1
Olfm2,1,1,6,1
Pde3b,3,1,3,3
Rps10,2,1,2,4
Zbtb7a,2,2,3,6
S100a10,3,1,1,3
Kif2c,1,1,1,1
Atp2b1,2,1,3,3
Cyp4v3,2,1,1,1
Per1,1,1,2,1
Stoml2,1,1,1,5
Vapa,3,2,3,3
Rps6ka2,1,1,1,1
Mllt1,3,2,2,5
Xylt2,1,2,2,2
Mbd2,1,1,2,1
Ndufa2,2,1,1,4
Mrpl27,1,1,2,3
Map2k1,1,1,2,3
Acox3,1,4,2,1
Emilin1,1,2,1,2
Cbx5,13,8,13,5
Rab1a,4,2,4,4
Mtmr2,2,2,2,3
Stau1,4,3,2,4
H2-D1,4,1,1,1
Syde1,1,2,8,7
Ikbkb,2,1,2,5
Chd7,1,1,2,3
Aatk,1,3,6,2
N4bp2l2,1,2,3,1
Cacna1a,1,3,1,7
Magi1,3,5,3,3
Mtap,2,2,1,3
Pfkfb3,1,1,1,2
Atrn,3,1,1,2
Ints4,2,2,5,6
Tsc22d4,3,3,1,3
Crybg3,1,4,4,3
Ralbp1,3,2,2,2
Piezo2,1,3,1,4
Sirt1,1,1,1,1
Pank4,1,1,1,2
Tbc1d8b,1,1,1,2
Ppp1r13l,1,2,2,3
Gli2,1,1,7,2
Col4a6,1,5,4,4
Atmin,1,2,2,1
Vmp1,1,1,3,3
Psmd7,1,1,2,4
Xdh,1,1,1,3
Xiap,1,2,6,3
Gsdme,2,4,4,9
Arhgap32,1,5,3,8
Psmb6,1,1,1,4
Ghitm,1,2,5,7
Clspn,2,1,2,1
Csnk1a1,5,2,1,7
Eif2s3x,3,1,2,1
Serpine1,4,5,8,6
Lct,1,2,1,6
Fancd2,2,2,1,5
Zfp217,1,1,1,2
Tmem94,1,1,3,3
Fdft1,12,9,10,15
Ptms,5,2,1,5
Rnf111,1,1,1,2
Ubn1,2,1,6,3
Atp6v1c1,2,1,1,2
Senp6,3,2,4,3
Atp6v0a2,3,2,1,3
Nsfl1c,1,5,3,4
Rpl36a,1,3,1,9
Nmt1,1,3,9,5
Irf2bpl,2,1,3,6
Auts2,2,1,2,1
Dpp9,1,1,2,1
Mtr,11,13,8,30
Atp9b,1,3,1,3
Ppp2r5b,4,2,1,4
Zmym2,2,7,13,15
Obsl1,1,1,3,1
Nhsl3,1,2,1,1
Herc1,7,7,12,17
Frmd4b,1,1,7,3
Ctif,2,1,1,1
Tanc2,1,2,5,2
Slc3a2,1,2,1,8
Hp1bp3,2,2,3,6
Tial1,2,3,1,1
Arhgap31,2,1,1,1
Cmya5,1,4,4,6
Bmpr1a,63,58,113,130
Trim65,2,2,9,1
Zmiz1,10,3,2,4
Per3,1,1,1,6
Psmb7,1,2,1,2
Ctsa,3,4,2,5
Pi4ka,1,2,2,2
Lsm14a,2,1,1,2
Cept1,1,1,4,3
Hgs,1,1,1,1
Unc13b,1,5,7,2
Gpx4,1,1,1,1
Ppfia1,1,3,3,2
Slc1a5,1,1,2,2
Sv2a,2,1,2,4
Aurkb,1,2,1,1
Tenm4,1,2,15,6
Cdv3,13,4,6,10
Trmt1,1,1,2,5
Senp5,4,2,2,3
Gtf3c3,1,1,1,1
Srsf3,5,2,1,4
Nlrp4f,1,5,9,9
Cnksr2,1,5,6,2
Golm2,1,1,1,1
Ankrd12,1,1,2,1
Efr3a,2,3,1,3
Phb1,1,2,2,2
Sf3b4,1,1,1,2
Usp6nl,3,1,2,1
Psmd12,3,2,1,1
Dcp2,2,2,2,3
